go	va
do you want any of these books	veux tu l un de ces livres
does anyone want some more pie	quelqu un veut plus de tarte
does this bus go to the museum	ce bus se rend il au musee
does this look familiar to you	cela te semble t il familier
does this look familiar to you	cela vous semble t il familier
don t be ashamed of being poor	n aie pas honte d etre pauvre
don t call me so late at night	ne m appelez pas trop tard le soir
don t do anything until i come	ne fais rien avant que je vienne
don t expect any mercy from me	n attendez aucune pitie de ma part
don t forget that tom is blind	n oublie pas que tom est aveugle
don t point your gun at anyone	ne pointe pas ton arme vers quiconque
don t point your gun at anyone	ne pointez pas votre arme vers quiconque
don t raise my hopes like that	n eveillez donc pas ainsi mes espoirs
don t raise my hopes like that	n eveille donc pas ainsi mes espoirs
don t sneak up on me like that	ne me prends pas par surprise comme ca
don t sneak up on me like that	ne te faufile pas derriere moi comme ca
don t you have some work to do	n avez vous pas de travail a faire
don t you want to say anything	ne veux tu pas dire quelque chose
don t you want to say anything	ne voulez vous pas dire quelque chose
each child was given a present	chaque enfant a recu un cadeau
each of them was given a prize	chacun d eux a recu un prix
even tom is a little surprised	meme tom est un peu surpris
even his servants despised him	meme ses serviteurs le detestaient
even his servants despised him	meme ses serviteurs le meprisaient
every mistake made me stronger	chaque erreur m a renforce
every nation has its own myths	tous les pays ont leurs legendes
everybody wishes for happiness	chacun souhaite le bonheur
everyone is free to contribute	chacun est libre de contribuer
everyone thinks the same thing	chacun pense la meme chose
everything is extremely simple	tout est extremement simple
everything seems normal enough	tout semble assez normal
everything seems normal enough	tout parait assez normal
fighting won t settle anything	se battre ne resoudra rien
finally we arrived in england	nous parvinmes finalement en angleterre
finally we arrived in england	nous arrivames finalement en angleterre
forty people can t fit in here	quarante personnes ne peuvent pas tenir ici
frankly i don t like that man	franchement je n aime pas cet homme
give me three pieces of salmon	donnez moi trois morceaux de saumon
give my regards to your family	presentez mes respects a votre famille
give my regards to your family	presente mes respects a ta famille
have you ever been to new york	es tu deja alle a new york
have you ever been to new york	etes vous deja alle a new york
have you ever been to an opera	as tu jamais assiste a un opera
have you ever been to an opera	avez vous jamais assiste a un opera
have you ever dreamed about me	as tu deja reve de moi
have you finished the work yet	as tu deja termine le travail
have you finished the work yet	avez vous deja fini le travail
have you seen all these movies	as tu vu tous ces films
have you seen all these movies	avez vous vu tous ces films
he acted the part of king lear	il joua le role du roi lear
he admitted that he was guilty	il admit qu il etait coupable
he advised us against doing it	il nous deconseilla de le faire
he and i are in the same class	lui et moi sommes dans la meme classe
he asked his friend for advice	il demanda conseil a son ami
he asked his friend for advice	il demanda conseil a son amie
he asked me whether i was busy	il me demanda si j etais occupe
he became a handsome young man	il devint un charmant jeune homme
he bought a new pair of gloves	il acheta une nouvelle paire de gants
he came to ask us for our help	il est venu pour nous demander notre aide
he can t take his eyes off her	il ne peut pas la quitter des yeux
he denied having written to me	il a nie m avoir ecrit
he didn t show up at the party	il n est pas venu a la fete
he doesn t have his medication	il n a pas son traitement
he doesn t have his medication	il n a pas son remede
he earns his living by writing	il gagne sa vie en ecrivant
he flatly refused to let me in	il refusa categoriquement de me laisser entrer
he had a copy made of this key	il fit faire un double de cette cle
he had decided on a new policy	il avait decide d une nouvelle politique
he has a head on his shoulders	il a la tete sur les epaules
he has a large number of books	il a une grande quantite de livres
he has a new woman in his life	il a une nouvelle femme dans sa vie
he has a son and two daughters	il a un fils et deux filles
he has a very interesting book	il detient un ouvrage tres interessant
he kept silent during the meal	il resta silencieux pendant le repas
he laid his head on the pillow	il posa la tete sur l oreiller
he left soon after our arrival	il partit rapidement apres notre arrivee
he likes me and i like him too	il m apprecie et je l apprecie aussi
he likes me and i like him too	il m apprecie et je l apprecie egalement
he likes to sing popular songs	il aime chanter des chansons populaires
he lives on his country estate	il habite cette maison de campagne
he looks as if he had been ill	il a l air d avoir ete malade
he moved back with his parents	il est retourne chez ses parents
he never saw his brother again	il ne revit jamais son frere
he pressed me against the wall	il me pressa contre le mur
he reached the rank of general	il atteignit le grade de general
he risked his life to save her	il risqua sa vie pour la sauver
he saved money for his old age	il a epargne pour ses vieux jours
he saw the surprise on my face	il lut la surprise sur mon visage
he seldom writes to his father	il ecrit rarement a son pere
he soon betrayed his ignorance	il revela bientot son ignorance
he started to study in earnest	il a commence a travailler serieusement
he studied the flight of birds	il etudia le vol des oiseaux
he threw a stone into the pond	il lanca une pierre dans la mare
he told her that she was right	il lui dit qu elle avait raison
he took charge of the expenses	il se chargea de grandes depenses
he tried it again but in vain	il essaya de nouveau mais en vain
he tried to gain her affection	il tenta de gagner leur affection
he tried writing a short story	il essaya d ecrire une nouvelle
he walks his dog every morning	il promene son chien chaque matin
he warned me that i would fail	il m a prevenu que j echouerais
he was absent from the meeting	il fut absent de la reunion
he was accompanied by his wife	il etait accompagne de son epouse
he was accompanied by his wife	il etait accompagne de sa femme
he was called away on business	il a ete appele pour affaires
he was deserted by his friends	il fut abandonne par ses amis
he was experienced in business	il etait rompu aux affaires
he was involved in the trouble	il etait implique dans l affaire
he was not aware of the danger	il n etait pas conscient du danger
he was punished for his crimes	il fut puni pour ses crimes
he was robbed of all his money	on lui a vole tout son argent
he was surprised to learn this	il fut surpris de l apprendre
he was surprised to learn this	il fut surpris d apprendre ca
he was tired so he went to bed	il etait fatigue il alla donc au lit
he was too young to live alone	il etait trop jeune pour vivre seul
